Artist Name,AZ Lyrics URL,Status
2 Live Crew,,
A Tribe Called Quest,,
Afrika Bambaataa,,
Beastie Boys,,
Busta Rhymes,,
Chance the Rapper,,
Coolio,,
De La Soul,,
Dr. Dre,,
Drake,,
Eminem,http://www.azlyrics.com/e/eminem.html,
Eric B. & Rakim,,
Ice Cube,,
Jay-Z,,
Kanye West,,
Kendrick Lamar,,
Lil Wayne,,
LL Cool J,,
MC Hammer,,
N.W.A,,
Nas,,
Outkast,,
Public Enemy,,
Run the Jewels,,
Run-D.M.C.,,
Slum Village,,
Snoop Dogg,,
Sugarhill Gang,,
The Notorius B.I.G,,
Tupac,,
"Tyler, the Creator",,
Wu-Tang Clan,,
J Dilla,,
Grand Master Flash,,